dataset,fraction,known_cls_ratio,labeled_ratio,method,NMI,ARI,ACC
banking,308.0,0.75,0.1,KM,67.32,13.84,26.09
banking,308.0,0.75,0.1,MCL-BERT,75.33,47.25,60.68
banking,308.0,0.75,0.1,PCK-means,58.54,16.29,23.4
banking,308.0,0.75,0.1,SAE-KM,70.97,16.96,27.07
clinc,150.0,0.75,0.1,AG,73.07,27.7,44.03
clinc,150.0,0.75,0.1,CDAC+,86.65,54.33,69.89
clinc,150.0,0.75,0.1,DAC,78.4,40.49,55.94
clinc,150.0,0.75,0.1,DCN,75.66,31.15,49.29
clinc,150.0,0.75,0.1,DEC,74.83,27.46,46.89
clinc,150.0,0.75,0.1,DTC-BERT,90.54,65.02,74.15
clinc,150.0,0.75,0.1,DeepAligned,93.89,79.75,86.49
clinc,150.0,0.75,0.1,DeepCluster,65.16,18.32,35.2
clinc,150.0,0.75,0.1,KCL-BERT,86.82,58.79,68.86
clinc,150.0,0.75,0.1,KM,70.89,26.86,45.06
clinc,150.0,0.75,0.1,MCL-BERT,87.72,59.92,69.66
clinc,150.0,0.75,0.1,PCK-means,68.7,35.4,54.61
clinc,150.0,0.75,0.1,SAE-KM,73.13,29.95,46.75
clinc,300.0,0.75,0.1,AG,77.44,31.76,45.09
clinc,300.0,0.75,0.1,CDAC+,86.09,49.28,57.47
clinc,300.0,0.75,0.1,DAC,79.64,37.49,49.56
clinc,300.0,0.75,0.1,DCN,76.64,26.88,43.78
clinc,300.0,0.75,0.1,DEC,77.03,30.76,44.93
clinc,300.0,0.75,0.1,DTC-BERT,89.15,63.18,66.65
clinc,300.0,0.75,0.1,DeepAligned,92.5,72.26,77.18
clinc,300.0,0.75,0.1,DeepCluster,71.53,20.86,35.44
clinc,300.0,0.75,0.1,KCL-BERT,86.84,59.08,68.92
clinc,300.0,0.75,0.1,KM,76.99,32.45,46.62
clinc,300.0,0.75,0.1,MCL-BERT,87.15,59.22,69.2
clinc,300.0,0.75,0.1,PCK-means,73.1,37.92,46.88
clinc,300.0,0.75,0.1,SAE-KM,76.93,31.07,43.78
clinc,450.0,0.75,0.1,AG,78.93,30.11,39.91
clinc,450.0,0.75,0.1,CDAC+,85.46,41.86,47.07
clinc,450.0,0.75,0.1,DAC,79.09,30.63,41.07
clinc,450.0,0.75,0.1,DCN,79.2,32.01,41.91
clinc,450.0,0.75,0.1,DEC,77.02,25.12,41.47
clinc,450.0,0.75,0.1,DTC-BERT,88.12,55.26,57.73
clinc,450.0,0.75,0.1,DeepAligned,93.57,79.54,83.81
clinc,450.0,0.75,0.1,DeepCluster,73.98,19.47,31.56
clinc,450.0,0.75,0.1,KCL-BERT,86.64,58.45,68.7
clinc,450.0,0.75,0.1,KM,78.8,31.41,42.07
clinc,450.0,0.75,0.1,MCL-BERT,86.72,58.66,69.06
clinc,450.0,0.75,0.1,PCK-means,74.4,34.14,38.59
clinc,450.0,0.75,0.1,SAE-KM,78.06,26.68,36.38
clinc,600.0,0.75,0.1,AG,79.99,27.45,35.87
clinc,600.0,0.75,0.1,CDAC+,84.72,35.16,40.89
clinc,600.0,0.75,0.1,DAC,79.76,28.12,37.73
clinc,600.0,0.75,0.1,DCN,78.42,26.77,37.11
clinc,600.0,0.75,0.1,DEC,76.94,26.09,38.49
clinc,600.0,0.75,0.1,DTC-BERT,87.22,48.98,51.76
clinc,600.0,0.75,0.1,DeepAligned,91.8,70.91,72.22
clinc,600.0,0.75,0.1,DeepCluster,76.28,19.04,29.4
clinc,600.0,0.75,0.1,KCL-BERT,86.51,58.36,68.65
clinc,600.0,0.75,0.1,KM,79.68,28.79,37.71
clinc,600.0,0.75,0.1,MCL-BERT,87.26,59.59,69.33
clinc,600.0,0.75,0.1,PCK-means,75.01,31.5,34.98
clinc,600.0,0.75,0.1,SAE-KM,78.34,24.57,33.25
