ACC,ARI,NMI,task_name,method,known_cls_ratio,labeled_ratio,fraction,seed,pred_num
54.03,43.18,74.17,banking,DeepAligned,0.5,0.1,2.0,2,68
82.04,78.33,93.32,clinc,DeepAligned,0.75,0.1,3.0,1,197
80.98,72.41,91.62,clinc,DeepAligned,0.5,0.1,1.0,1,150
14.58,4.52,35.65,banking,wopre_align,0.75,0.1,1.0,7,77
61.75,53.56,80.04,banking,DeepAligned,0.75,0.1,4.0,3,117
63.99,50.74,78.36,banking,DeepAligned,0.75,0.1,2.0,2,66
26.13,12.27,60.65,clinc,wopre_init,0.75,0.1,1.0,1,150
47.95,36.8,69.76,banking,DeepAligned,0.25,0.1,2.0,2,72
16.46,6.32,38.8,banking,wopre_align,0.75,0.1,1.0,8,77
63.34,53.52,79.76,banking,DeepAligned,0.75,0.1,3.0,4,98
54.03,43.18,74.17,banking,DeepAligned,0.5,0.1,2.0,2,68
73.47,64.08,88.84,clinc,DeepAligned,0.25,0.1,1.0,2,150
14.81,5.05,36.05,banking,wopre_align,0.75,0.1,1.0,9,77
59.32,51.29,79.39,banking,DeepAligned,0.75,0.1,4.0,4,120
63.99,50.74,78.36,banking,DeepAligned,0.75,0.1,2.0,2,66
24.84,10.63,59.41,clinc,wopre_init,0.75,0.1,1.0,2,150
73.2,71.4,91.86,clinc,DeepAligned,0.75,0.1,4.0,1,254
47.05,36.57,69.31,banking,DeepAligned,0.25,0.1,2.0,3,64
78.53,71.23,91.6,clinc,DeepAligned,0.5,0.1,1.0,2,150
54.58,43.37,74.55,banking,DeepAligned,0.5,0.1,2.0,3,62
24.71,10.77,59.29,clinc,wopre_init,0.75,0.1,1.0,3,150
62.92,52.22,79.42,banking,DeepAligned,0.75,0.1,2.0,3,67
84.0,80.45,93.71,clinc,DeepAligned,0.75,0.1,3.0,2,188
47.05,36.57,69.31,banking,DeepAligned,0.25,0.1,2.0,3,64
70.58,59.16,87.08,clinc,DeepAligned,0.25,0.1,1.0,3,150
54.58,43.37,74.55,banking,DeepAligned,0.5,0.1,2.0,3,62
24.27,10.3,59.28,clinc,wopre_init,0.75,0.1,1.0,4,150
62.92,52.22,79.42,banking,DeepAligned,0.75,0.1,2.0,3,67
46.46,34.11,68.26,banking,DeepAligned,0.25,0.1,2.0,4,62
52.14,40.97,72.89,banking,pre_init,0.75,0.1,1.0,0,77
13.9,4.49,35.35,banking,wopre_init,0.75,0.1,1.0,5,77
70.93,70.18,91.69,clinc,DeepAligned,0.75,0.1,4.0,2,252
53.83,41.45,73.29,banking,pre_init,0.75,0.1,1.0,1,77
53.86,42.99,74.01,banking,DeepAligned,0.5,0.1,2.0,4,60
13.67,4.02,33.95,banking,wopre_init,0.75,0.1,1.0,6,77
81.51,73.04,91.63,clinc,DeepAligned,0.5,0.1,1.0,3,150
55.06,42.06,73.77,banking,pre_init,0.75,0.1,1.0,2,77
16.04,6.21,38.33,banking,testunlabeled,0.75,0.1,1.0,0,77
59.32,50.68,78.53,banking,DeepAligned,0.75,0.1,2.0,4,60
